registro_id,calle,altura,ciudad,barrio,latitud,longitud,distancia_corralon_km,direccion_osm,clave_direccion_fuente,frecuencia_direccion_fuente,estado_calidad,motivo_revision
DG-0173,Buenos Aires,988,Granadero Baigorria,Centro,-32.8632217,-60.7084487,2.021927,"988, Avenida Buenos Aires, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",buenos aires|988|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0174,Agrelo,2570,Rosario,Alberdi,-32.8890570,-60.6925278,5.221346,"2570, Pedro José Agrelo, Alberdi, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina",agrelo|2570|rosario,3,APTO_ENTRENAMIENTO,
DG-0175,Las Heras,559,Granadero Baigorria,San Miguel,-32.8615131,-60.7121950,1.654824,"559, Las Heras, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",las heras|559|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0176,Calle 2,68,Granadero Baigorria,Los Robles,-32.8475189,-60.7105448,1.152362,"Intendente Monti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 2|68|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0177,Junin,1161,Granadero Baigorria,San Miguel,-32.8620731,-60.7176257,1.474761,"1161, Junín, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",junin|1161|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0178,Calle 13,2462,Granadero Baigorria,Los Robles,-32.8471809,-60.7143793,0.814801,"2462, Calle 13, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 13|2462|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0179,Calfucura,841,Granadero Baigorria,No especificado,-32.8533211,-60.7193666,0.524134,"841, Calfucurá, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calfucura|841|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0180,Carriego,239,Granadero Baigorria,San Miguel,-32.8612234,-60.7138106,1.543166,"Pasaje E. Carriego, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",carriego|239|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0181,Balcarce,1018,Granadero Baigorria,San Miguel,-32.8642353,-60.7188024,1.677440,"1018, Balcarce, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",balcarce|1018|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0182,Calle 12,2461,Granadero Baigorria,Los Robles,-32.8469737,-60.7133997,0.908928,"2461, Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 12|2461|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0183,Mitre,1082,Granadero Baigorria,San Miguel,-32.8611177,-60.7208647,1.302520,"1082, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",mitre|1082|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0184,Moreno,147,Granadero Baigorria,Centro,-32.8630898,-60.7044212,2.276720,"147, Moreno, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",moreno|147|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0185,Calle 6,2831,Granadero Baigorria,Los Robles,-32.8467597,-60.7080448,1.398263,"Crucero General Belgrano, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 6|2831|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0186,Fray Luis Beltran,7,Rosario,Domingo Faustino Sarmiento,-32.9115689,-60.6892895,7.572318,"Fray Luis Beltrán, Domingo Faustino Sarmiento, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina",fray luis beltran|7|rosario,1,APTO_ENTRENAMIENTO,
